App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
SnowMobile Parking Adventure,GAME,3.6,12257,49M,"1,000,000+",Free,0,Everyone,Racing,"September 9, 2016",1.4,2.3 and up
TNEB Quick Pay Easy,FINANCE,4.5,28,1.4M,"10,000+",Free,0,Teen,Finance,"January 29, 2018",1,3.0 and up
"Messenger L SMS, MMS",PERSONALIZATION,4.0,6263,20M,"500,000+",Free,0,Everyone,Personalization,"July 12, 2018",7.46,2.3 and up
Supermarket Cashier Kids Games,FAMILY,3.6,32416,Varies with device,"1,000,000+",Free,0,Everyone,Educational,"July 10, 2017",Varies with device,Varies with device
The CJ Rubric,HEALTH_AND_FITNESS,5.0,5,43M,100+,Free,0,Everyone,Health & Fitness,"December 5, 2017",The CJ Rubric 7.12.0,4.1 and up
Whist - Tinnitus Relief,MEDICAL,4.1,12,5.1M,"1,000+",Paid,$1.99,Everyone,Medical,"March 2, 2017",1.2,4.1 and up
Carnivores: Dinosaur Hunter,GAME,4.2,62636,17M,"1,000,000+",Free,0,Teen,Action,"July 2, 2018",1.8.0,4.0.3 and up
Paint Hit,GAME,4.4,37023,33M,"10,000,000+",Free,0,Everyone,Casual,"July 6, 2018",5.200,5.0 and up
Height Converter feet-inch cm,TOOLS,4.2,498,597k,"100,000+",Free,0,Everyone,Tools,"October 22, 2013",1.0,2.2 and up
Pocket RxTx Pro,PRODUCTIVITY,4.3,253,Varies with device,"5,000+",Paid,$3.99,Everyone,Productivity,"March 4, 2018",Varies with device,Varies with device
Transfer,FINANCE,4.1,31804,9.8M,"5,000,000+",Free,0,Everyone,Finance,"July 27, 2018",3.1.6.12,4.0 and up
El Laberinto del Demonio 2,FAMILY,4.1,3654,25M,"100,000+",Free,0,Teen,Puzzle,"April 14, 2017",1.0.1,4.0 and up
Mini Golf King - Multiplayer Game,GAME,4.5,531458,100M,"5,000,000+",Free,0,Everyone,Sports,"July 20, 2018",3.04.1,4.0.3 and up
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3M,"500,000+",Free,0,Everyone,House & Home,"March 12, 2015",1.4,3.0 and up
Plug-in app (System AC),TOOLS,3.6,126,11M,"10,000+",Free,0,Everyone,Tools,"June 8, 2017",v1.1072.35.0,4.0 and up
Survival: Prison Escape,GAME,4.0,127810,33M,"10,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.8.8,4.4 and up
Toddler Kids Puzzles PUZZINGO,FAMILY,4.6,14014,60M,"1,000,000+",Free,0,Everyone,Education;Education,"July 6, 2018",7.32,4.0.3 and up
Chrome Dev,COMMUNICATION,4.4,63543,Varies with device,"5,000,000+",Free,0,Everyone,Communication,"August 2, 2018",69.0.3497.24,Varies with device
My Day - Countdown Calendar 🗓️,LIFESTYLE,4.1,49147,13M,"1,000,000+",Free,0,Everyone,Lifestyle,"May 7, 2018",2.9.5,4.1 and up
AE Gun Ball: arcade ball games,GAME,3.7,8581,12M,"1,000,000+",Free,0,Everyone,Arcade,"December 13, 2013",1.0.2,2.2 and up
EzCalculator,TOOLS,4.1,1657,2.0M,"100,000+",Free,0,Everyone,Tools,"September 17, 2017",2.1.0,5.0 and up
do,FAMILY,3.1,1073,5.9M,"100,000+",Free,0,Everyone,Strategy,"June 8, 2016",1.0.4,4.0 and up
211:CK Lite,GAME,4.3,3,39M,10+,Free,0,Mature 17+,Action,"September 22, 2017",1.0,4.1 and up
Live 3D Neon Blue Love Heart Keyboard Theme,PERSONALIZATION,4.3,6626,9.1M,"1,000,000+",Free,0,Everyone,Personalization,"July 25, 2018",6.7.25.2018,4.0.3 and up
Firefox Browser fast & private,COMMUNICATION,4.4,3075096,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 10, 2018",Varies with device,Varies with device
FG On-The-Go,TOOLS,4.9,55,25M,"1,000+",Free,0,Everyone,Tools,"June 29, 2018",2.01.0.2,4.1 and up
H Band 2.0,HEALTH_AND_FITNESS,2.9,4031,8.9M,"500,000+",Free,0,Everyone,Health & Fitness,"June 15, 2018",3.0.2,4.4 and up
BD CRICKET LIVE,SPORTS,4.6,1238,9.5M,"100,000+",Free,0,Everyone,Sports,"January 15, 2018",3.0,4.0.3 and up
GolfLogix GPS + Putt Breaks,SPORTS,4.0,11085,61M,"1,000,000+",Free,0,Everyone,Sports,"June 21, 2018",8.9.3,4.0.3 and up
Learn Java,EDUCATION,4.7,52743,5.4M,"1,000,000+",Free,0,Everyone,Education,"December 25, 2017",3.5.2,4.0 and up
Quiz for Clash Royale™,FAMILY,4.0,3788,32M,"100,000+",Free,0,Everyone,Entertainment,"July 18, 2018",3.0.1,4.1 and up
FaceQ,FAMILY,4.4,591411,19M,"10,000,000+",Free,0,Teen,Entertainment,"May 16, 2017",3.4.1,3.0 and up
MOD Black for BM,BOOKS_AND_REFERENCE,,2,7.8M,100+,Free,0,Everyone,Books & Reference,"July 31, 2017",1.0,4.0 and up
Instagram,SOCIAL,4.5,66577313,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 31, 2018",Varies with device,Varies with device
Hole.io,GAME,4.2,145353,85M,"10,000,000+",Free,0,Teen,Arcade,"July 24, 2018",1.3.1,4.1 and up
Ai-Ball AV Recorder,PHOTOGRAPHY,2.7,90,4.0M,"5,000+",Paid,$2.99,Everyone,Photography,"October 19, 2017",13,2.3.3 and up
Squid - Take Notes & Markup PDFs,PRODUCTIVITY,4.2,37204,19M,"1,000,000+",Free,0,Everyone,Productivity,"July 21, 2018",3.4.4.4-GP,4.0 and up
BJ-FPV,FAMILY,4.2,16,26M,"1,000+",Free,0,Everyone,Casual,"July 31, 2018",2.0.2,4.4 and up
FG Rockstar,FAMILY,,1,30M,10+,Free,0,Everyone,Education,"August 2, 2018",1.1.5,4.1 and up
CT Lottery,FAMILY,3.8,271,8.3M,"50,000+",Free,0,Teen,Entertainment,"June 12, 2017",1.2.0,4.0 and up
CQ-Mobile,COMMUNICATION,,10,8.1M,"1,000+",Free,0,Everyone,Communication,"November 28, 2016",5.5.0,4.0 and up
ES Anywhere,BUSINESS,4.7,10,Varies with device,100+,Free,0,Everyone,Business,"April 28, 2017",Varies with device,4.0.3 and up
mySharpBranded CI Test,TOOLS,,0,898k,1+,Free,0,Everyone,Tools,"October 4, 2017",1.0.7,4.2 and up
LinkedIn,SOCIAL,4.2,1225339,Varies with device,"100,000,000+",Free,0,Everyone,Social,"August 2, 2018",4.1.202,5.0 and up
Movie DB,FAMILY,,10,2.6M,"1,000+",Free,0,Teen,Entertainment,"December 10, 2016",1.0.1,4.2 and up
Learn Music Notes,FAMILY,4.7,143,4.4M,"1,000+",Paid,$1.99,Everyone,Music;Music & Video,"June 17, 2018",1.2.1,2.2 and up
EHiN-FH conferenceapp,COMMUNICATION,,5,26M,100+,Free,0,Everyone,Communication,"November 15, 2016",1.17,4.1 and up
free video calls and chat,COMMUNICATION,4.2,594720,Varies with device,"50,000,000+",Free,0,Everyone,Communication,"July 19, 2018",7.3(800241),4.4 and up
BL Portfolio,PHOTOGRAPHY,,4,16M,100+,Free,0,Everyone,Photography,"June 13, 2017",1.2,4.1 and up
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",TOOLS,4.5,648380,24M,"10,000,000+",Free,0,Everyone,Tools,"August 1, 2018",4.6.4,4.1 and up
BW-IVMS,PRODUCTIVITY,,0,17M,100+,Free,0,Everyone,Productivity,"July 26, 2018",12.0.18071400,4.1 and up
Técnico Legislativo Câmara Legislativa DF,PRODUCTIVITY,,1,10M,10+,Paid,$2.99,Everyone,Productivity,"June 29, 2018",6.0,4.0.3 and up
VeinSeek,MEDICAL,2.5,79,Varies with device,"1,000+",Paid,$3.99,Everyone,Medical,"December 6, 2017",Varies with device,Varies with device
GMAT Math Flashcards,EDUCATION,4.4,1769,Varies with device,"100,000+",Free,0,Everyone,Education,"July 11, 2018",Varies with device,Varies with device
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 13, 2018",3.2.0d,4.0.3 and up
Free Resume Builder – CV Maker,BUSINESS,4.4,25,12M,"5,000+",Free,0,Everyone,Business,"June 9, 2018",1.5,4.4 and up
Bu Hangi Ünlü?,GAME,,1,19M,10+,Free,0,Everyone,Trivia,"June 9, 2018",3.3.7z,4.0.3 and up
Fever Meter,MEDICAL,3.6,26,975k,"5,000+",Free,0,Everyone,Medical,"May 10, 2015",1.1,2.2 and up
Sygic Truck GPS Navigation,TRAVEL_AND_LOCAL,4.2,18294,28M,"1,000,000+",Free,0,Everyone,Travel & Local,"August 2, 2018",13.8.3,4.0 and up
BS-Mobile,COMMUNICATION,5.0,1,683k,50+,Free,0,Everyone,Communication,"September 3, 2015",0.1,2.3 and up
DC N COMPANY ENTERTAINMENT RADIO!,FAMILY,5.0,22,2.2M,100+,Free,0,Mature 17+,Entertainment,"November 2, 2017",1.4,4.4 and up
Downloader & Private Browser,TOOLS,4.3,1072565,Varies with device,"50,000,000+",Free,0,Everyone,Tools,"July 25, 2018",Varies with device,Varies with device
J Balvin Piano Tiles,GAME,,6,30M,500+,Free,0,Everyone,Music,"May 15, 2018",2.0,4.1 and up
